stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0232798,,0.0068834,0.0232798,0.5663471,0.5663471,0.5729069,0.8733491,3.5192917,right,10,,1,1,2.9351158,521863,1,2024-09-12_20h28.33.787,adaptive_staircase,2024.2.1,59.49958473,2024-09-12 20h28.40.010078 +0530
1,2,8,3.537979,,3.5196519,3.537979,4.023034,4.023034,4.0396196,4.3228291,4.3590205,left,-8,,1,1,0.324355,521863,1,2024-09-12_20h28.33.787,adaptive_staircase,2024.2.1,59.49958473,2024-09-12 20h28.40.010078 +0530
2,2,6,4.3723492,,4.3593196,4.3723492,4.8728738,4.8728738,4.8728738,5.1727282,5.2248276,right,6,,1,1,0.3474343,521863,1,2024-09-12_20h28.33.787,adaptive_staircase,2024.2.1,59.49958473,2024-09-12 20h28.40.010078 +0530
3,1,4,5.2392101,,5.2250824,5.2392101,5.7397353,5.7397353,5.7397353,6.0395343,6.0749809,left,-4,,0,0,0.3304059,521863,1,2024-09-12_20h28.33.787,adaptive_staircase,2024.2.1,59.49958473,2024-09-12 20h28.40.010078 +0530
4,1,5,6.089557,,6.0752832,6.089557,6.5899245,6.5899245,6.5899245,,6.725692,right,5,,1,1,0.1312199,521863,1,2024-09-12_20h28.33.787,adaptive_staircase,2024.2.1,59.49958473,2024-09-12 20h28.40.010078 +0530
5,1,5,6.7392249,,6.7260027,6.7392249,7.2392893,7.2392893,7.2392893,,7.4744841,left,-5,,0,0,0.2276176,521863,1,2024-09-12_20h28.33.787,adaptive_staircase,2024.2.1,59.49958473,2024-09-12 20h28.40.010078 +0530
6,1,6,7.4905015,,7.4747641,7.4905015,7.9898663,7.9898663,8.0062362,,8.2244292,right,6,,1,1,0.2243751,521863,1,2024-09-12_20h28.33.787,adaptive_staircase,2024.2.1,59.49958473,2024-09-12 20h28.40.010078 +0530
7,1,6,8.2392948,,8.2246999,8.2392948,8.7395712,8.7395712,8.7395712,,8.8079808,left,-6,,0,0,0.0550615,521863,1,2024-09-12_20h28.33.787,adaptive_staircase,2024.2.1,59.49958473,2024-09-12 20h28.40.010078 +0530
8,1,7,8.822558,,8.808424,8.822558,9.3229753,9.3229753,9.3229753,,9.5409773,left,-7,,0,0,0.2030018,521863,1,2024-09-12_20h28.33.787,adaptive_staircase,2024.2.1,59.49958473,2024-09-12 20h28.40.010078 +0530
9,1,8,9.5559613,,9.541238,9.5559613,10.0397327,10.0397327,10.0557288,,10.1244238,left,-8,,0,0,0.0735525,521863,1,2024-09-12_20h28.33.787,adaptive_staircase,2024.2.1,59.49958473,2024-09-12 20h28.40.010078 +0530
10,1,9,10.1393455,,10.1247679,10.1393455,10.6396134,10.6396134,10.6396134,,10.7242268,left,-9,,1,1,0.0749242,521863,1,2024-09-12_20h28.33.787,adaptive_staircase,2024.2.1,59.49958473,2024-09-12 20h28.40.010078 +0530
