key_resp.keys,key_resp.corr,tilt,,HIT,MISS,FALSE ALARM,CORRECT REJECTION
down,0,0,,,1,,
down,0,0,,,1,,
up,1,0,,1,,,
up,0,-3,,,,1,
down,1,-4,,,,,1
up,1,0,,1,,,
down,0,0,,,1,,
up,0,1,,,,1,
down,0,0,,,1,,
up,0,3,,,,1,
down,0,0,,,1,,
down,1,2,,,,,1
down,1,1,,,,,1
up,0,3,,,,1,
down,1,4,,,,,1
up,1,0,,1,,,
down,0,0,,,1,,
up,1,0,,1,,,
down,0,0,,,1,,
up,1,0,,1,,,
up,1,0,,1,,,
down,1,4,,,,,1
down,0,0,,,1,,
up,0,1,,,,1,
down,1,-2,,,,,1
up,1,0,,1,,,
up,0,-2,,,,1,
down,0,0,,,1,,
down,1,-2,,,,,1
down,0,0,,,1,,
up,0,3,,,,1,
down,1,2,,,,,1
up,1,0,,1,,,
down,0,0,,,1,,
up,1,0,,1,,,
down,0,0,,,1,,
up,0,3,,,,1,
up,0,-5,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
down,1,4,,,,,1
up,1,0,,1,,,
up,0,-4,,,,1,
up,1,0,,1,,,
down,0,0,,,1,,
down,1,-4,,,,,1
down,1,-5,,,,,1
down,1,1,,,,,1
up,1,0,,1,,,
up,0,-5,,,,1,
down,0,0,,,1,,
up,0,4,,,,1,
down,0,0,,,1,,
down,1,1,,,,,1
down,0,0,,,1,,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,4,,,,1,
down,1,-2,,,,,1
up,0,-4,,,,1,
up,1,0,,1,,,
down,1,-2,,,,,1
down,0,0,,,1,,
down,0,0,,,1,,
down,0,0,,,1,,
down,1,-2,,,,,1
down,1,-3,,,,,1
down,0,0,,,1,,
down,0,0,,,1,,
up,1,0,,1,,,
down,1,3,,,,,1
up,0,-4,,,,1,
up,1,0,,1,,,
up,0,-5,,,,1,
up,1,0,,1,,,
up,0,-5,,,,1,
up,1,0,,1,,,
up,0,-4,,,,1,
down,0,0,,,1,,
down,1,-2,,,,,1
up,1,0,,1,,,
up,1,0,,1,,,
down,0,0,,,1,,
down,1,3,,,,,1
down,0,0,,,1,,
up,0,-5,,,,1,
up,0,-2,,,,1,
up,0,2,,,,1,
up,0,1,,,,1,
up,1,0,,1,,,
down,1,-2,,,,,1
down,0,0,,,1,,
down,1,-4,,,,,1
up,1,0,,1,,,
down,1,2,,,,,1
up,0,-2,,,,,
down,0,0,,,1,,
down,0,0,,,1,,
up,0,-5,,,,1,
,,,,,,,
,,,SUM=,26,27,23,23
,,,,,,,
,,,,,,,
,,Prop hit,0.490566038,,,,
,,Prop fa,0.5,,,,
,,d prime,-0.023649641,,,,
,,C,0.023649641,,,,
,,C=,0.01182482,,,,
