31.5215 	INFO 	Loaded monitor calibration from ['2024_08_08 09:17']
31.8023 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x160919d50>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x160919cf0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x160919b10>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x160991870>, multiSample=False, name='window1', numSamples=2, pos=[485.0, 278.0], screen=0, size=array([2000, 1600]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
31.8024 	EXP 	window1: backgroundImage = ''
31.8024 	EXP 	window1: backgroundFit = 'none'
31.8026 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160919e70>
31.8028 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160919e70>
31.8055 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160919e70>
31.8061 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160919e70>
31.8431 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160919e70>
31.8433 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160919e70>
31.8439 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160919e70>
31.8444 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x160919e70>
31.8595 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
31.8595 	EXP 	window1: recordFrameIntervals = False
32.0043 	EXP 	window1: recordFrameIntervals = True
32.8376 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

32.8377 	EXP 	window1: mouseVisible = True
32.8547 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
36.6053 	INFO 	keyboard.Keyboard is using iohub backend.
36.6054 	INFO 	keyboard.Keyboard is using iohub backend.
36.6887 	EXP 	intentionalbinding: status = STARTED
36.6893 	EXP 	window1: mouseVisible = True
36.6966 	EXP 	Created polygon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
36.6967 	EXP 	window1: mouseVisible = True
36.7001 	EXP 	Created polygon_2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1.    ,  0.0039, -1.    ]), fillColorSpace='rgb', fillRGB=array([-1.    ,  0.0039, -1.    ]), interpolate=True, lineColor=array([-1.    ,  0.0039, -1.    ]), lineColorSpace='rgb', lineRGB=array([-1.    ,  0.0039, -1.    ]), lineWidth=1.0, name='polygon_2', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
36.7545 	EXP 	Sound sound_1 set volume 1.000
36.7549 	EXP 	window1: mouseVisible = True
36.8008 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
36.8012 	EXP 	window1: mouseVisible = True
36.8014 	EXP 	window1: mouseVisible = True
36.8019 	EXP 	window1: mouseVisible = True
36.8024 	EXP 	window1: mouseVisible = True
36.8095 	EXP 	window1: mouseVisible = True
36.8096 	EXP 	window1: mouseVisible = True
36.8102 	EXP 	window1: mouseVisible = True
36.8106 	EXP 	window1: mouseVisible = True
36.8317 	EXP 	window1: mouseVisible = True
36.8319 	EXP 	window1: mouseVisible = True
36.8324 	EXP 	window1: mouseVisible = True
36.8329 	EXP 	window1: mouseVisible = True
36.8548 	EXP 	window1: mouseVisible = True
36.8550 	EXP 	window1: mouseVisible = True
36.8555 	EXP 	window1: mouseVisible = True
36.8559 	EXP 	window1: mouseVisible = True
0.0222 	EXP 	textbox: autoLog = True
0.0312 	EXP 	Imported /Users/prernabhandari/Downloads/ib_cons.csv as conditions, 12 conditions, 3 params
0.0341 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'delay': 0.1, 'freq': 1000, 'condition': 'exp', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0404 	EXP 	polygon: autoDraw = True
1.0019 	INFO 	Keyboard events cleared
1.0013 	EXP 	polygon_2: autoDraw = True
1.0329 	EXP 	polygon: autoDraw = False
1.1367 	DATA 	Keypress: space
1.1414 	WARNING 	t of last frame was 41.75ms (=1/23)
1.1615 	WARNING 	t of last frame was 20.16ms (=1/49)
1.7908 	DATA 	Keypress: space
1.8117 	WARNING 	t of last frame was 26.27ms (=1/38)
2.2904 	DATA 	Keypress: space
2.8325 	DATA 	Keypress: space
2.8792 	DATA 	Keypress: rcommand
3.0949 	EXP 	polygon: autoDraw = False
3.0949 	EXP 	polygon_2: autoDraw = False
3.1785 	EXP 	Sound sound_1 reached end of file
3.1950 	EXP 	Sound sound_1 started
3.4826 	EXP 	Sound sound_1 stopped
3.5056 	WARNING 	t of last frame was 27.29ms (=1/36)
3.5056 	EXP 	text: autoDraw = True
3.5056 	EXP 	textbox: autoDraw = True
3.6689 	DATA 	Keypress: space
4.9317 	DATA 	Keypress: 2
5.2417 	DATA 	Keypress: 0
5.4217 	DATA 	Keypress: 0
6.4121 	DATA 	Mouse: Left button down, pos=(496,184)
6.4153 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'delay': 0.1, 'freq': 1000, 'condition': 'exp', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
6.4185 	EXP 	text: autoDraw = False
6.4185 	EXP 	textbox: autoDraw = False
6.4185 	EXP 	polygon: autoDraw = True
6.5324 	DATA 	Mouse:  Left button up, pos=(496,184)
7.4121 	INFO 	Keyboard events cleared
7.4116 	EXP 	polygon_2: autoDraw = True
7.4165 	EXP 	polygon: autoDraw = False
7.5185 	DATA 	Keypress: space
7.9239 	DATA 	Keypress: space
8.4715 	DATA 	Keypress: space
8.4755 	EXP 	polygon: autoDraw = False
8.4755 	EXP 	polygon_2: autoDraw = False
8.5491 	EXP 	Sound sound_1 reached end of file
8.5656 	EXP 	Sound sound_1 started
8.8533 	EXP 	Sound sound_1 stopped
8.8687 	EXP 	text: autoDraw = True
8.8687 	EXP 	textbox: autoDraw = True
10.6012 	DATA 	Keypress: 3
10.7831 	DATA 	Keypress: 0
10.9503 	DATA 	Keypress: 0
12.7382 	DATA 	Mouse: Left button down, pos=(464,185)
