study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,t_1,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Pastry,0,0,0,1.94,2.3190834170000016,,,,,,,,,,,,0,0,0,9,,,,,0.027727458999834198,,0.014095417000135058,0.027727458999834198,0.027727458999834198,2.3429824170007123,1.94,2.3190834170000016,,,,,,,,,,,,,,,,,,,,Prerna,2024-10-25_16h18.08.384,priming,2024.2.1,None,2024-10-25 16h18.18.030676 +0530,
phone,1,1,0,1.985,1.0458831670002837,,,,,,,,,,,,0,1,1,2,,,,,2.3537209169999187,,2.347387000000708,2.3537209169999187,2.3537209169999187,3.3993855839999014,1.985,1.0458831670002837,,,,,,,,,,,,,,,,,,,,Prerna,2024-10-25_16h18.08.384,priming,2024.2.1,None,2024-10-25 16h18.18.030676 +0530,
book,2,2,0,1.985,0.5813115000000835,,,,,,,,,,,,0,2,2,0,,,,,3.4083536670004833,,3.401467292000234,3.4083536670004833,3.4083536670004833,3.9922667500004536,1.985,0.5813115000000835,,,,,,,,,,,,,,,,,,,,Prerna,2024-10-25_16h18.08.384,priming,2024.2.1,None,2024-10-25 16h18.18.030676 +0530,
board,3,3,0,1.985,0.5206631659993946,,,,,,,,,,,,0,3,3,4,,,,,4.000769584000409,,3.9950989170001776,4.000769584000409,4.000769584000409,4.525582666999981,1.985,0.5206631659993946,,,,,,,,,,,,,,,,,,,,Prerna,2024-10-25_16h18.08.384,priming,2024.2.1,None,2024-10-25 16h18.18.030676 +0530,
Keys,4,4,0,1.985,0.4812502909999239,,,,,,,,,,,,0,4,4,13,,,,,4.533862875000523,,4.528233792000719,4.533862875000523,4.533862875000523,5.0151442500000485,1.985,0.4812502909999239,,,,,,,,,,,,,,,,,,,,Prerna,2024-10-25_16h18.08.384,priming,2024.2.1,None,2024-10-25 16h18.18.030676 +0530,
Mouse,5,5,0,1.985,0.47570220899979176,,,,,,,,,,,,0,5,5,8,,,,,5.024994334000439,,5.017727500000547,5.024994334000439,5.024994334000439,5.499220624999907,1.985,0.47570220899979176,,,,,,,,,,,,,,,,,,,,Prerna,2024-10-25_16h18.08.384,priming,2024.2.1,None,2024-10-25 16h18.18.030676 +0530,
Chart,6,6,0,1.985,0.32586404099947686,,,,,,,,,,,,0,6,6,6,,,,,5.508358709000277,,5.5011993340003755,5.508358709000277,5.508358709000277,5.833104500000445,1.985,0.32586404099947686,,,,,,,,,,,,,,,,,,,,Prerna,2024-10-25_16h18.08.384,priming,2024.2.1,None,2024-10-25 16h18.18.030676 +0530,
Cruise,7,7,0,1.985,0.3408309999995254,,,,,,,,,,,,0,7,7,11,,,,,5.8415626250007335,,5.835111125000367,5.8415626250007335,5.8415626250007335,6.181760041999951,1.985,0.3408309999995254,,,,,,,,,,,,,,,,,,,,Prerna,2024-10-25_16h18.08.384,priming,2024.2.1,None,2024-10-25 16h18.18.030676 +0530,
marble,8,8,0,1.985,0.3755525830001716,,,,,,,,,,,,0,8,8,3,,,,,6.191801917000703,,6.183747000000039,6.191801917000703,6.191801917000703,6.564815042000191,1.985,0.3755525830001716,,,,,,,,,,,,,,,,,,,,Prerna,2024-10-25_16h18.08.384,priming,2024.2.1,None,2024-10-25 16h18.18.030676 +0530,
Laptop,9,9,0,1.985,0.314967541000442,,,,,,,,,,,,0,9,9,5,,,,,6.574913292000019,,6.567500459000257,6.574913292000019,6.574913292000019,6.892341084000691,1.985,0.314967541000442,,,,,,,,,,,,,,,,,,,,Prerna,2024-10-25_16h18.08.384,priming,2024.2.1,None,2024-10-25 16h18.18.030676 +0530,
