34.6697 	INFO 	Loaded monitor calibration from ['2024_08_08 09:17']
34.9463 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x15e262b00>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x15e262b60>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x15e262e00>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x15e1e2920>, multiSample=False, name='window1', numSamples=2, pos=[485.0, 278.0], screen=0, size=array([2000, 1600]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
34.9464 	EXP 	window1: backgroundImage = ''
34.9464 	EXP 	window1: backgroundFit = 'none'
34.9466 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15e2629e0>
34.9468 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15e2629e0>
34.9494 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15e2629e0>
34.9500 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15e2629e0>
34.9867 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15e2629e0>
34.9868 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15e2629e0>
34.9874 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15e2629e0>
34.9880 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x15e2629e0>
35.0030 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
35.0030 	EXP 	window1: recordFrameIntervals = False
35.1493 	EXP 	window1: recordFrameIntervals = True
35.9829 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

35.9831 	EXP 	window1: mouseVisible = True
35.9833 	INFO 	keyboard.Keyboard is using event backend.
35.9833 	EXP 	priming: status = STARTED
35.9840 	EXP 	window1: mouseVisible = True
35.9947 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
36.0134 	EXP 	window1: mouseVisible = True
36.0158 	EXP 	window1: mouseVisible = True
36.0159 	EXP 	window1: mouseVisible = True
36.0164 	EXP 	window1: mouseVisible = True
36.0169 	EXP 	window1: mouseVisible = True
36.0271 	EXP 	window1: mouseVisible = True
36.0272 	EXP 	window1: mouseVisible = True
36.0277 	EXP 	window1: mouseVisible = True
36.0282 	EXP 	window1: mouseVisible = True
36.0364 	EXP 	window1: mouseVisible = True
36.0365 	EXP 	window1: mouseVisible = True
36.0370 	EXP 	window1: mouseVisible = True
36.0375 	EXP 	window1: mouseVisible = True
36.0419 	EXP 	window1: mouseVisible = True
36.0420 	EXP 	window1: mouseVisible = True
36.0425 	EXP 	window1: mouseVisible = True
36.0430 	EXP 	window1: mouseVisible = True
36.0473 	EXP 	window1: mouseVisible = True
36.0518 	EXP 	window1: mouseVisible = True
36.0645 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=['Familiar', 'unfamiliar'], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.3]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
36.0647 	EXP 	window1: mouseVisible = True
